id,drug_name,route,notes,agent_type,drug_name_short
4,Amoxicillin,PO,,antibacterial,
19,Colistin - NOT for cystic fibrosis,IV,Colistimethate Sodium/CMS,antibacterial,
1,Aminoglycosides,IV,,antibacterial,
2,Ampicillin,IV,,antibacterial,
18,Clindamycin,IV/PO,,antibacterial,
17,Ciprofloxacin,IV/PO,,antibacterial,
16,Cefpodoxime,PO,,antibacterial,
15,Cephalexin,PO,,antibacterial,
14,Ceftriaxone,IV,for endocarditis: see IDSA guidelines,antibacterial,
13,Ceftolozane-Tazobactam,IV,FDA-approved dose: 1.5g IV q8h,antibacterial,
12,Ceftazidime-Avibactam,IV,,antibacterial,
10,Ceftaroline,IV,FDA approved dose: 600mg IV q12,antibacterial,
11,Ceftazidime,IV,,antibacterial,
9,Cefepime,IV,,antibacterial,
8,Cefazolin,IV,,antibacterial,
7,Aztreonam,IV,,antibacterial,
6,Azithromycin,IV/PO,,antibacterial,
5,Amoxicillin/Clavulanate,PO,,antibacterial,
70,Oseltamivir - for pregnant women (or within two weeks of delivery),PO,Contact Maternal Fetal Medicine for dosing recommendations in patients with impaired renal function or patients who are on hemodialysis.,antiviral,
67,Valacyclovir,PO,See specific transplant guidelines for prophylaxis dosing recommendations.,antiviral,
68,Valganciclovir,PO,,antiviral,
93,Ritonavir (RTV;r),PO,1;10;17,antiretroviral (Pharmacokinetic Booster),
64,Posaconazole - suspension; treatment for pregnant women (or within two weeks of delivery),PO,treatment for pregnant women (or within two weeks of delivery),antifungal,
94,Bictegravir (BIC),PO,10;18,antiretroviral (INSTI),
49,Vancomycin - for C.difficile infections,PO,See OCCAM guidelines for additional therapies: https://occam.uwmedicine.org/uw-occam-library/guidelines-library/cdiff-diarrhea/,antibacterial,
71,Abacavir (ABC),PO,1;2;3;10,antiretroviral (NRTI),
72,Cimduo (3TC/TDF) 300/300 mg,PO,9;10,antiretroviral (NRTI),
73,Combivir (3TC/AZT) 150/300 mg,PO,10;25,antiretroviral (NRTI),
74,Descovy (FTC/TAF) 200/25 mg,PO,10;28,antiretroviral (NRTI),
75,Emtricitabine (FTC),PO,1;4;10,antiretroviral (NRTI),
76,Epzicom (ABC/3TC) 600/300 mg,PO,10;29,antiretroviral (NRTI),
77,Lamivudine (3TC),PO,1;5;10,antiretroviral (NRTI),
78,Tenofovir disoproxil (TDF),PO,1;6;9;10,antiretroviral (NRTI),
79,Tenofovir alafenamide (TAF),PO,36,antiretroviral (NRTI),
80,Truvada (FTC/TDF) 200/300 mg,PO,1;10 If pt experiencing renal dysfuction while on therapy; consult ID for alternatives.,antiretroviral (NRTI),
81,Zidovudine (AZT),PO,1;8;10,antiretroviral (NRTI),
82,Doravirine (DOR),PO,10;11,antiretroviral (NNRTI),
83,Efavirenz (EFV),PO,1;10;12 ,antiretroviral (NNRTI),
95,Dolutegravir (DTG),PO,1;10;19,antiretroviral (INSTI),
96,Elvitegravir (EVG),PO,10;20,antiretroviral (INSTI),
97,Raltegravir (RAL),PO,1;10,antiretroviral (INSTI),
98,Enfuvirtide; SC (ENF),PO,1;10;21,antiretroviral (Entry Inhibitor),
99,Idalizumab; IV (IBA),PO,1;10;22,antiretroviral (Entry Inhibitor),
100,Maraviroc (MVC),PO,1;9;10;23,antiretroviral (Entry Inhibitor),
3,Ampicillin/Sulbactam,IV,,antibacterial,
21,Dalbavancin,IV,,antibacterial,
101,Atripla (EFV/FTC/TDF) 600/200/300 mg,PO,10;24 ***Please consult HIV/ID team with regards to dose adjusting Single Tablet Formulations***,antiretroviral (Single Tablet Formulation),
86,Rilpivirine (RPV),PO,1;10,antiretroviral (NNRTI),RPV
53,Cidofovir,IV,*Use Adjusted Body Wt for patients with total body weight >120% IBW*; Probenecid 2g 3h prior to cidofovir dose; then give 1g at 2h and 8h after completion of cidofovir infusion (total 4g),antiviral,Cidofovir
84,Etravirine (ETR),PO,1;10,antiretroviral (NNRTI),ETR
45,Rifampin,IV/PO,Use w/ caution in hepatic failure,antibacterial,
109,Stribild (EVG/c/FTC/TDF) 150/150/200/300 mg,PO,1;9;10 ***Please consult HIV/ID team with regards to dose adjusting Single Tablet Formulations***,antiretroviral (Single Tablet Formulation),
110,Symtuza (DRV/c/FTC/TAF) 800/150/200/10 mg,PO,9;10 ***Please consult HIV/ID team with regards to dose adjusting Single Tablet Formulations***,antiretroviral (Single Tablet Formulation),
111,Triumeq (DTG/ABC/3TC) 50/600/300 mg,PO,9;10;34 ***Please consult HIV/ID team with regards to dose adjusting Single Tablet Formulations***,antiretroviral (Single Tablet Formulation),Triumeq
42,Polymixin B,IV,"use Total Body Weight; unless Obese (defined as > 20% IBW); then  use Adjusted Body Weight; Discuss w/ Infectious Diseases or pharmacy before starting; particularly in patients w/ renal insufficiency
",antibacterial,
20,Colistin - for Cystic Fibrosis,IV,See OCCAM guidelines for inhaled therapy,antibacterial,
22,Dalfopristin/Quinupristin,IV,,antibacterial,
23,Dapsone,PO,,antibacterial,
24,Daptomycin,IV,*Use Total Body Weight*; (Round to nearest 100mg); Do not use for pneumonia,antibacterial,
25,Doxycycline,IV/PO,,antibacterial,
26,Ethambutol,PO,Based on ATS guidelines,antibacterial,
27,Ertapenem,IV,,antibacterial,
28,Fidaxomicin,PO,,antibacterial,
29,Fosfomycin,PO,,antibacterial,
105,Delstrigo (DOR/3TC/TDF) 100/300/300 mg,PO,9;10;27 ***Please consult HIV/ID team with regards to dose adjusting Single Tablet Formulations***,antiretroviral (Single Tablet Formulation),Delstrigo
46,Tigecycline,IV,,antibacterial,
47,Trimethoprim/Sulfamethoxazole,IV/PO,*In obese pts; use Adjusted Body weight*; Dosing based on TMP component - Tablets: SS =400mg SMX/ 80mg TMP; DS = 800mg SMX/ 160mg TMP,antibacterial,
48,Vancomycin,IV,Use Total Body Weight; If obese; use 15 mg/kg/dose instead of 20 mg/kg/dose,antibacterial,
92,Cobicistat (COBI;c),PO,10;16,antiretroviral (Pharmacokinetic Booster),
50,Acyclovir,IV,*For obese pts (>120% than IBW); use Adjusted Body Weight (Wt); otherwise use Ideal body weight (IBW); Adjusted Wt = (Total Body Wt - Ideal Body Wt (IBW)) x 0.4+ IBW; BSA: Body Surface Area,antiviral,
51,Acyclovir,PO,See specific transplant guidelines for prophylaxis dosing recommendations.,antiviral,
52,Amphotericin B liposomal,IV,*Use Total Body Wt*,antifungal,
54,Fluconazole,IV/PO,,antifungal,
55,Flucytosine,PO,*Use Ideal Body Weight*,antiviral,
30,Imipenem/Cilastatin,IV,consult >72 hours,antibacterial,
31,Isoniazid,IV/PO,,antibacterial,
32,Levofloxacin,IV/PO,For most indications; in patients with normal renal function; the 750 mg dose is preferred.,antibacterial,
33,Linezolid,IV/PO,,antibacterial,
34,Meropenem,IV,consult >72 hours,antibacterial,
56,Foscarnet,IV,*Use Ideal Body Weight*,antiviral,
57,Ganciclovir,IV,*Use Total Body Weight*,antiviral,
58,Isavuconazonium sulfate,IV/PO,,antifungal,
59,Itraconazole solution,PO,Preferred due to better absorption; Tablets and solution are NOT interchangeable,antifungal,
60,Itraconazole capsule,PO,Tablets and solution are NOT interchangeable,antifungal,
35,Metronidazole,IV/PO,,antibacterial,
36,Minocycline,IV/PO,,antibacterial,
37,Moxifloxacin,IV/PO,,antibacterial,
38,Nafcillin,IV,,antibacterial,
39,Nitrofurantoin,PO,extended release (Macrobid),antibacterial,
40,Penicillin G Potassium,IV,Endocarditis/Neurosyphillis/NSTI,antibacterial,
85,Nevirapine (NVP),PO,1;10;13,antiretroviral (NNRTI),
87,Atazanavir (ATV),PO,1;9;10;14,antiretroviral (PI),
88,Darunavir (DRV),PO,1;10,antiretroviral (PI),
41,Piperacillin/Tazobactam,IV,prolonged infusion,antibacterial,
43,Pyrazinamide,PO,Based on ATS guidelines,antibacterial,
102,Biktarvy (BIC/FTC/TAF) 50/200/25 mg,PO,10;18 ***Please consult HIV/ID team with regards to dose adjusting Single Tablet Formulations***,antiretroviral (Single Tablet Formulation),
103,Complera (RPV/FTC/TDF) 25/200/300 mg,PO,10;26 ***Please consult HIV/ID team with regards to dose adjusting Single Tablet Formulations***,antiretroviral (Single Tablet Formulation),
104,Dovato (DTG/3TC) 50/300 mg,PO,37 ***Please consult HIV/ID team with regards to dose adjusting Single Tablet Formulations***,antiretroviral (Single Tablet Formulation),
106,Genvoya (EVG/c/FTC/TAF) 150/150/200/10 mg,PO,9;10;30 ***Please consult HIV/ID team with regards to dose adjusting Single Tablet Formulations***,antiretroviral (Single Tablet Formulation),
107,Juluca (DTG/RPV) 25/50 mg,PO,10;31;35 ***Please consult HIV/ID team with regards to dose adjusting Single Tablet Formulations***,antiretroviral (Single Tablet Formulation),
108,Odefsey (RPV/FTC/TAF) 25/200/25 mg,PO,10;32 ***Please consult HIV/ID team with regards to dose adjusting Single Tablet Formulations***,antiretroviral (Single Tablet Formulation),
89,Fosamprenavir (FPV),PO,1;10,antiretroviral (PI),
90,Lopinavir/ritonavir (LPV/r),PO,1;10;15,antiretroviral (PI),
91,Prezcobix (DRV/c) 800/150 mg,PO,10;33,antiretroviral (PI),
44,Rifabutin,PO,Based on ATS guidelines,antibacterial,
61,Letermovir,IV/PO,,antiviral,
62,Micafungin,IV,,antifungal,
65,Posaconazole - Delayed release tabs (100mg tablets ),IV/PO,Prophylaxis,antifungal,
63,Oseltamivir,PO,,antiviral,
69,Voriconazole,IV/PO,*For obese pts; use Adjusted Body Weight*,antifungal,
66,Ribavirin,PO,for immunocompromised pts only,antiviral,
