drug_name,crcl_level,indication,dose,crcl_cutoff_high,crcl_cutoff_low,drug_name_short
Ceftaroline,CrCl (mL/min) 15 - 30,Endocarditis,300mg q8h,30,15,
Aminoglycosides,all CrCl values,,Consult pharmacy for dosing recommendations for amikacin; gentamicin; tobramycin; or streptomycin.,1000,0,
Amoxicillin,CrCl (mL/min) 10 - 30,,250 – 1000mg q12h,30,10,
Amoxicillin,CrCl (mL/min) <10,,250 – 1000mg q24h,10,0,
Amoxicillin,CrCl > 30 (mL/min),,250 – 1000mg q8h,1000,30,
Amoxicillin/Clavulanate,CrCl (mL/min) 10 - 30,,250mg -500mg q12h,30,10,
Amoxicillin/Clavulanate,CrCl (mL/min) <10,,500mg q24h (500mg SD),10,0,
Amoxicillin/Clavulanate,CrCl > 30 (mL/min),,875mg q12h,1000,30,
Ampicillin,CrCl (mL/min) 10 - 50,,1 – 2g q6-12h,50,10,
Ampicillin,CrCl (mL/min) <10,,1 – 2g q12-24h,10,0,
Ampicillin,CrCl > 50 (mL/min),,1 – 2g q4-6h,1000,50,
Ampicillin/Sulbactam,CrCl (mL/min) 10 - 30,,1.5 – 3g q12h,30,10,
Ampicillin/Sulbactam,CrCl (mL/min) 30 - 50,,1.5 - 3g q8h,50,30,
Ampicillin/Sulbactam,CrCl > 50 (mL/min),,1.5 – 3g q6h,1000,50,
Azithromycin,all CrCl values,,500mg x1day; 250 – 500mg q24h,1000,0,
Aztreonam,CrCl (mL/min) 10 - 30,Any,2gx1; 0.5 – 1g q8h,30,10,
Aztreonam,CrCl (mL/min) <10,Any,2g x1 then 500mg q8h,10,0,
Aztreonam,CrCl > 30 (mL/min),CF,2g q6h,1000,30,
Aztreonam,CrCl > 30 (mL/min),NOT CF or Neutropenic fever,2g q6-8h,1000,30,
Aztreonam,CrCl > 30 (mL/min),Neutropenic fever,2g q8h,1000,30,
Cefazolin,CrCl (mL/min) 10 - 30,,2g q12h,30,10,
Cefazolin,CrCl (mL/min) <10,,1g q24h,10,0,
Cefazolin,CrCl > 30 (mL/min),,2g q8h,1000,30,
Cefepime,CrCl (mL/min) 10 - 30,Neutropenic fever/Serious infection,0.5 – 2g q24h,30,10,
Cefepime,CrCl (mL/min) 30 - 60,Neutropenic fever/Serious infection,1 – 2g q12-24h,60,30,
Cefepime,CrCl (mL/min) <10,Neutropenic fever/Serious infection,1g q24h,10,0,
Cefepime,CrCl (mL/min) > 60,Neutropenic fever/Serious infection,2g q8h,1000,60,
Cefpodoxime,CrCl (mL/min) 10 - 30,,200 – 400mg q24h,30,10,
Cefpodoxime,CrCl (mL/min) <10,,200 – 400mg q24h,10,0,
Cefpodoxime,CrCl > 30 (mL/min),,200 – 400mg q12h,1000,30,
Ceftaroline,CrCl (mL/min) 15 - 30,Not Endocarditis,300mg q12h,30,15,
Ceftaroline,CrCl (mL/min) 30 - 50,Endocarditis,400mg q8h,50,30,
Ceftaroline,CrCl (mL/min) 30 - 50,Not Endocarditis,400mg q12h,50,30,
Ceftaroline,CrCl (mL/min) <15,Endocarditis,300mg q12h,15,0,
Ceftaroline,CrCl (mL/min) <15,Not Endocarditis,200mg q12h,15,0,
Ceftaroline,CrCl (mL/min) > 50,Endocarditis,600mg q8h,1000,50,
Ceftaroline,CrCl (mL/min) > 50,Not Endocarditis,600mg q12h,1000,50,
Ceftazidime,CrCl (mL/min) 15 - 30,Neutropenic fever; serious infection; Pseudomonas aeruginosa,2 gm q24h,30,15,
Ceftazidime,CrCl (mL/min) 15 - 30,Not neutropenic fever; serious infection; Pseudomonas aeruginosa,1 gm q24h,30,15,
Ceftazidime,CrCl (mL/min) 30 - 50,Neutropenic fever; serious infection; Pseudomonas aeruginosa,2 gm q12h,50,30,
Ceftazidime,CrCl (mL/min) 30 - 50,Not neutropenic fever; serious infection; Pseudomonas aeruginosa,1 gm q12h,50,30,
Ceftazidime,CrCl (mL/min) 5 - 15,Neutropenic fever; serious infection; Pseudomonas aeruginosa,1 gm q24h,15,5,
